GSM,208,1,29188,33460,0,7.2805023193359,43.702926635742,1000,1,1,1290339940,1290339940,0
UMTS,208,1,29190,26415871,0,7.28275,43.71666,1000,33,1,1290426777,1482414724,0
UMTS,208,1,29190,26434020,0,7.28519,43.720495,1000,58,1,1290426777,1491363663,0
UMTS,208,1,29190,26434021,0,7.285012,43.724422,1220,95,1,1290426777,1491363663,0
UMTS,208,1,29190,26416289,0,7.295059,43.733826,1062,30,1,1290426777,1491698226,0
UMTS,208,1,29190,26412310,0,7.311144,43.739662,1000,16,1,1290426777,1482982666,0
UMTS,208,1,29190,26412309,0,7.313461,43.73983,1000,47,1,1290426777,1465579713,0
UMTS,208,1,29191,26482906,0,7.314606,43.744125,1000,6,1,1290340306,1290340306,0
UMTS,208,1,29190,26411021,0,7.314355,43.74018,1000,63,1,1290426777,1492236941,0
UMTS,208,1,29190,26411024,0,7.316208,43.741928,1000,25,1,1290426777,1492132307,0
GSM,208,1,29187,4681,0,7.314805,43.744642,6352,322,1,1290426778,1519658731,0
GSM,208,1,29187,37037,0,7.318792,43.742869,8487,1233,1,1290426778,1573131184,0
UMTS,208,1,29190,26412311,0,7.298355,43.733521,1000,18,1,1290426778,1491698226,0
UMTS,208,1,29190,26416290,0,7.285917,43.730667,1000,35,1,1290426778,1468766641,0
UMTS,208,1,29190,26415874,0,7.282087,43.715181,1000,13,1,1290426778,1490004271,0
UMTS,208,1,29190,26415873,0,7.28508,43.713226,1000,12,1,1290426778,1490004271,0
UMTS,208,1,29190,26414419,0,7.283401,43.710251,1000,18,1,1290426778,1426782978,0
UMTS,208,1,29190,26414473,0,7.274094,43.699265,1000,3,1,1290426778,1432035670,0
GSM,208,1,29188,14410,0,7.271668,43.699879,2000,2000,1,1290426780,1646989609,0
UMTS,208,1,29190,26434230,0,7.261452,43.698398,1000,47,1,1290426780,1428384541,0
UMTS,208,1,29190,26412189,0,7.250613,43.698807,1000,17,1,1290426780,1426092717,0
